IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.64.79.216,4,4,0.00,192.01,0.00,N/A
104.18.197.117,4,4,0.00,192.25,0.00,N/A
104.27.198.27,4,4,0.00,192.31,0.00,N/A
172.64.82.156,4,4,0.00,192.44,0.00,N/A
162.159.140.47,4,4,0.00,192.48,0.00,N/A
172.65.179.161,4,4,0.00,192.63,0.00,N/A
104.18.191.7,4,4,0.00,193.06,0.00,N/A
104.29.157.91,4,4,0.00,193.07,0.00,N/A
172.64.93.231,4,4,0.00,193.29,0.00,N/A
104.18.158.138,4,4,0.00,193.56,0.00,N/A
162.159.94.17,4,4,0.00,193.59,0.00,N/A
162.159.95.49,4,4,0.00,193.59,0.00,N/A
104.18.167.176,4,4,0.00,193.77,0.00,N/A
172.64.80.160,4,4,0.00,193.81,0.00,N/A
172.64.85.187,4,4,0.00,193.82,0.00,N/A
104.25.7.163,4,4,0.00,194.16,0.00,N/A
104.18.193.150,4,4,0.00,194.21,0.00,N/A
104.26.10.87,4,4,0.00,194.24,0.00,N/A
172.65.178.25,4,4,0.00,194.35,0.00,N/A
198.41.207.132,4,4,0.00,194.35,0.00,N/A
104.18.210.66,4,4,0.00,194.80,0.00,N/A
104.18.144.215,4,4,0.00,194.94,0.00,N/A
172.64.74.26,4,4,0.00,194.98,0.00,N/A
104.18.205.106,4,4,0.00,195.25,0.00,N/A
172.67.79.191,4,4,0.00,195.43,0.00,N/A
172.64.67.5,4,4,0.00,195.46,0.00,N/A
104.18.15.32,4,4,0.00,195.60,0.00,N/A
172.65.229.163,4,4,0.00,195.63,0.00,N/A
172.64.83.101,4,4,0.00,195.69,0.00,N/A
104.18.171.222,4,4,0.00,195.79,0.00,N/A
104.18.175.55,4,4,0.00,195.80,0.00,N/A
104.18.192.44,4,4,0.00,195.81,0.00,N/A
104.17.255.112,4,4,0.00,195.86,0.00,N/A
198.41.203.222,4,4,0.00,195.87,0.00,N/A
104.18.202.64,4,4,0.00,195.89,0.00,N/A
104.18.147.151,4,4,0.00,195.89,0.00,N/A
172.65.234.18,4,4,0.00,195.90,0.00,N/A
104.18.7.62,4,4,0.00,196.03,0.00,N/A
104.18.5.37,4,4,0.00,196.04,0.00,N/A
104.24.212.23,4,4,0.00,196.57,0.00,N/A
104.17.189.162,4,4,0.00,196.62,0.00,N/A
172.64.84.140,4,4,0.00,196.78,0.00,N/A
172.67.75.130,4,4,0.00,196.82,0.00,N/A
